"InitialFrequency","InitialLatitudeGradient","InitialLongitudeGradient","SelectionBase","SelectionDairying","Migration","SelectionMultiplierBritishIsles","SelectionMultiplierRhineDanube","SelectionMultiplierMediterranean","SelectionMultiplierBaltic","Distance"
0.005421700395476381,0.004862652540115094,0.005862331202835339,0.00048809922900284607,0.0262650626249238,0.0015738608714105206,1.5781031656928213,0.8320038353606922,0.4254597500573657,1.8138113597914458,0.03604315891040728
0.0007057745776474049,-0.006516408979195589,0.0033106015851848414,0.010665492749685977,0.02818148907586112,0.006811189588907575,0.9424501080315854,1.0204500258704663,0.4123376715478405,2.246566094129261,0.16182351788915825
0.002316570821449246,0.006106897013358539,-0.004813702043789238,0.0025829558965103417,0.011521156467572978,0.0022220971666439293,2.0119333929913377,0.8894825857630512,0.9089052248070604,1.2270997833325925,0.052454208226323615
0.0010734423444242803,0.0034990833978620845,0.004067850628072116,0.007676977137615266,0.026795817344640743,0.012046224289274415,1.7114105062872376,0.9212203633336526,0.8687229469521746,2.3363530108764277,0.06614378305137393
0.022815182501366594,0.010525231848257998,-0.0013857711467803462,0.008301497136911055,0.026372364016703377,0.000005220329824551228,1.5201446386500144,1.1476856838379734,0.8248083140442565,0.9847440420363665,0.5327598984783889
0.00022817290767039342,0.011205576175456169,-0.0003484172585968075,0.007380745082452557,0.022450114821749294,0.011285093917526962,1.7735086161613338,1.480435013711363,1.0814760479440026,2.21649289745679,0.05695274512748822
0.0005837418148283807,0.001874832530929587,-0.004172045241861472,0.011423676267371194,0.019876481033573618,0.013491133969083005,1.6428723792742896,1.1393048460402515,1.0434723160272654,2.0179167648384326,0.09973276035294293
0.0011934613714038567,-0.00524430270012907,-0.00603218069277727,0.0016819741770750136,0.015483561727889245,0.0039579743846108436,0.8128558912013412,1.2851182573562419,1.3218892772772315,1.7224233336137882,0.09139016629795853
0.028539326658891386,0.005045093534143608,0.007504381552808074,0.005998982929362159,0.03746511314178948,0.000600729702316658,0.8491954635634682,1.3447267356958388,0.7184821576369459,1.044473528735106,0.6098449286114834
0.00024110727580757915,0.011368406722361718,0.0001416501022301766,0.0025032212656277376,0.020335367735852188,0.0017367244289918525,0.9832030750542082,1.6464172634708885,1.3367184335732405,0.8455145385985152,0.05106344487037159
0.0034120931724515185,0.011093358910884409,0.005825118891510499,0.0045820899997356815,0.010656931645128456,0.008938061439766429,1.7163226166958723,1.2499487860459946,0.8605227386149589,1.6141895775539743,0.044572094612229864
0.00007500424760371904,-0.00765253601830514,0.005938128029715532,0.0018973142275649365,0.024667482867820976,0.006207015010050815,1.2958417549506605,1.5634915182851687,0.952267458452513,1.7740465773761749,0.14393507170273445
0.0012164041873253995,0.006539007022388613,-0.006379198188402704,0.00400805761742889,0.01722928333828798,0.0025187747916685385,0.8403822059201023,1.435920433928259,0.7812597864526559,0.9390345102296834,0.04849633975817025
0.0001707385974053766,-0.0017415866216295068,-0.004953434507102429,0.011832196308038482,0.03538999149922533,0.013740254190282955,1.7214920674150351,1.4141687359571802,0.98545477021953,1.7686108503322961,0.3372387497071641
0.00009356592609463764,0.008611708517265665,0.0036437964082300135,0.0033868801511351076,0.0362921179066943,0.005420136386316346,1.3242452137552525,0.6716274886780114,1.067063208236674,1.2240999313557626,0.027264007185059606
0.00006314628086955486,-0.0007123288547309388,-0.005546998223467497,0.008201643173701107,0.030770100354370663,0.008415325393484467,2.0915093276937444,1.470222114382874,0.9076323921944409,1.9892473044645567,0.19521195704743
0.0001503699035723433,0.011725637665945182,-0.00528606181133669,0.0030498508328491844,0.02683199815788921,0.01001747005312874,2.033571874949298,1.688448316698087,1.248784606946693,1.4098326362401075,0.08231559739620196
0.0077356936260398294,0.010087779885051516,-0.0035678135561193545,0.005410557154452189,0.006754767251381883,0.008414999583636874,1.5709750383933545,1.2247085833650642,1.182770847232135,1.7357072474983695,0.03366075021987623
0.0008460680988548639,-0.004031199493837351,-0.0021781876744481786,0.0030698031117040027,0.004437429656862282,0.000642858736849935,1.6933580643695116,1.3404389354200337,0.9382776267894184,1.0617139260179542,0.05689027000389519
0.0172146359159868,0.0036437524725594565,0.0012197931693458414,0.007027784870702647,0.01480895952269993,0.014246088205004837,1.9142509418444966,1.3144653165322235,0.5075788061304317,1.4112164678909285,0.20210008921336883
0.0000687607332430629,0.0038433806021132473,0.003884475241857384,0.004243133640190621,0.03483777197924441,0.004800239990853484,1.2196066002653543,1.783498074568127,0.6180785531818155,1.709760931317763,0.11101229728104048
0.013503990899575914,0.0053571067554275,-0.001558817836424627,0.011284885030095167,0.019683385086841535,0.001879407579678377,2.1578506499915653,0.9698000788403659,1.3911755201523706,2.019349030489887,0.5298662342164202
0.0016515209381223698,0.009198911178379062,-0.004396644480235722,0.001911200701296754,0.015632149482396454,0.00009862678036625771,1.8009285593627882,0.8590075199991156,1.3175261999372332,1.2220386068053752,0.051170767435004434
0.012320428715883151,0.005830441832431677,0.0049408596507234575,0.007899386662614439,0.008107242865228015,0.014430996376329748,1.361696842804783,0.7830887330488313,0.6481501962696056,1.2114732416130913,0.07389322955778532
0.014720545077713958,-0.005747220305158265,0.006369288358547092,0.0016003293154795016,0.03363814050409828,0.014282302150313928,0.9549457698884437,0.8169628576580986,1.0253153640773864,1.733976279093761,0.4325542023375699
0.00008769344977592572,0.004238620439351013,0.00030001253173638886,0.011495997863734292,0.016831287917173025,0.011349303131426331,1.9136581011972933,1.6927961380845675,0.46927679616246676,1.109229468818229,0.042445137932940205
0.014900219648188865,-0.005712551405247013,-0.0071303112168477015,0.010062708203274788,0.00904736625823551,0.0012670195485107937,1.1353498565510347,1.572885570267593,0.5163399174966051,1.6869535835068759,0.2077811932783035
0.0003536601320086481,0.006471068561747718,-0.0009989249258175014,0.007211604386263062,0.012775245764436711,0.006576744265326717,1.9450008261402885,0.7336179007418313,1.329600582388235,2.285995688190719,0.049725371046128154
0.0019445115112295668,0.005469375417420793,-0.00008459960397251365,0.006180846292439633,0.029198470949896197,0.00018189239400532518,1.553345482731754,1.4781984551134117,1.349244523333532,1.4464382369986541,0.1725559408756418
