Longitude,Latitude,RelativeDensity
3.00,42.00,0.00000
9.00,42.00,0.00000
9.50,42.00,0.00000
12.50,42.00,0.00000
13.00,42.00,0.00000
13.50,42.00,0.04167
14.00,42.00,0.04167
14.50,42.00,0.04167
15.00,42.00,0.03125
19.50,42.00,0.10417
20.00,42.00,0.10417
20.50,42.00,0.10417
21.00,42.00,0.10417
21.50,42.00,0.10417
22.00,42.00,0.10417
22.50,42.00,0.10417
23.00,42.00,0.10417
23.50,42.00,0.10417
24.00,42.00,0.04167
24.50,42.00,0.04167
25.00,42.00,0.04167
25.50,42.00,0.04167
26.00,42.00,0.04167
26.50,42.00,0.04167
27.00,42.00,0.00000
27.50,42.00,0.00000
28.00,42.00,0.00000
-8.50,42.50,0.00000
-8.00,42.50,0.00000
-7.50,42.50,0.00000
-7.00,42.50,0.00000
-6.50,42.50,0.00000
-6.00,42.50,0.00000
-5.50,42.50,0.00000
-5.00,42.50,0.00000
-4.50,42.50,0.00000
-4.00,42.50,0.00000
-3.50,42.50,0.00000
-3.00,42.50,0.00000
-2.50,42.50,0.00000
-2.00,42.50,0.00000
-1.50,42.50,0.00000
-1.00,42.50,0.00000
-0.50,42.50,0.00000
0.00,42.50,0.00000
0.50,42.50,0.00000
1.00,42.50,0.00000
1.50,42.50,0.00000
2.00,42.50,0.00000
2.50,42.50,0.00000
3.00,42.50,0.00000
9.00,42.50,0.00000
9.50,42.50,0.00000
11.50,42.50,0.00000
12.00,42.50,0.00000
12.50,42.50,0.04167
13.00,42.50,0.04167
13.50,42.50,0.04167
14.00,42.50,0.04167
19.00,42.50,0.14583
19.50,42.50,0.14583
20.00,42.50,0.14583
20.50,42.50,0.14583
21.00,42.50,0.14583
21.50,42.50,0.14583
22.00,42.50,0.14583
22.50,42.50,0.10417
23.00,42.50,0.10417
23.50,42.50,0.10417
24.00,42.50,0.10417
24.50,42.50,0.10417
25.00,42.50,0.10417
25.50,42.50,0.04167
26.00,42.50,0.04167
26.50,42.50,0.04167
27.00,42.50,0.04167
27.50,42.50,0.01250
-9.00,43.00,0.00000
-8.50,43.00,0.00000
-8.00,43.00,0.00000
-7.50,43.00,0.00000
-7.00,43.00,0.00000
-6.50,43.00,0.00000
-6.00,43.00,0.00000
-5.50,43.00,0.00000
-5.00,43.00,0.00000
-4.50,43.00,0.00000
-4.00,43.00,0.00000
-3.50,43.00,0.00000
-3.00,43.00,0.00000
-2.50,43.00,0.00000
-2.00,43.00,0.00000
-1.50,43.00,0.00000
-1.00,43.00,0.00000
-0.50,43.00,0.00000
0.00,43.00,0.00000
0.50,43.00,0.00000
1.00,43.00,0.00000
1.50,43.00,0.00000
2.00,43.00,0.00000
2.50,43.00,0.00000
3.00,43.00,0.00000
11.00,43.00,0.04167
11.50,43.00,0.04167
12.00,43.00,0.04167
12.50,43.00,0.04167
13.00,43.00,0.10417
13.50,43.00,0.10417
14.00,43.00,0.10417
18.00,43.00,0.20833
18.50,43.00,0.20833
19.00,43.00,0.20833
19.50,43.00,0.20833
20.00,43.00,0.20833
20.50,43.00,0.20833
21.00,43.00,0.20833
21.50,43.00,0.20833
22.00,43.00,0.20833
